name,firm_type,countries,check_size,stages,lead_status,thesis,value_add,typical_terms,reply_rate,profile_url,source_category
Tunitas Ventures,VC firm,USA,$500k to $1M,3. Early Revenue,Sometimes,"We invest in category creating companies across all Tech sectors, in the post-revenue to pre-Series A stage.",Our main value-add is helping our portfolio companies raise their next round of funding.,,50%,https://www.openvc.app/fund/Tunitas%20Ventures,venture-capital-firms
Maniv Mobility,VC firm,"Brazil, Canada",$1M to $5M,"1. Idea or Patent, 2. Prototype",,We invest in the world's leading mobility start-ups changing the way people and goods move around the world.,"Extensive network within the broader mobility ecosystem, including automotive OEMs, tier 1s (part suppliers), energy companies, infrastructure players, and more. Domain-specific expertise and proven track record in helping companies scale from seed to growth stage.",,50%,https://www.openvc.app/fund/Maniv%20Mobility,venture-capital-firms
Sentiero Ventures,VC firm,"Canada, USA",$200k to $500k,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in B2B AI-enabled SaaS startups that have a full product ready and have one commercial pilot completed. We look for founders with prior experience in the industry and we must, as a firm, have some experience/expertise in the industry. Any solutions we evaluate must solve a defined business problem. All investments must have clearly defined expected outcomes for investment, not just ""we'll spend it on engineers and ads"".","With a venture capital investment from us, startups gain access to a world class group of entrepreneurs, operators, and angel investors to help them operate and scale.",,86%,https://www.openvc.app/fund/Sentiero%20Ventures,venture-capital-firms
Advantary Capital,VC firm,USA,$2M to $10M,"3. Early Revenue, 4. Scaling",Always,"We invest in Seed through growth, sector agnostic. Must be revenue-generating, min check $2M","We support value creation through active engagement. Where appropriate, we sometimes pair capital with advisory services to support and accelerate value creation, through Advantary Services Group (ASG).",,40%,https://www.openvc.app/fund/Advantary%20Capital,venture-capital-firms
Curiosity VC,VC firm,"Belgium, Denmark",$500k to $1M,"3. Early Revenue, 4. Scaling",Sometimes,"We invest in B2B software with a focus on applications of AI in Fintech, Proptech, Legaltech, Enterprise Software, MarketingTech, Cyber Security, Energy and ClimateTech.","We offer support for product development, sales/GTM, recruiting, strategic & financial management and follow-on funding, through our extensive operator & investor experience and network, our expert advisor group and our engaged community of AI portfolio founders, who all become co-owners in our fund.",,33%,https://www.openvc.app/fund/Curiosity%20VC,venture-capital-firms
Cofounders Capital,VC firm,USA,$300k to $1M,"1. Idea or Patent, 2. Prototype",,"We invest in B2B software ventures, seed stage, in North Carolina and the Southeast United States.","Fundraising, hiring, sales, and other support.",,29%,https://www.openvc.app/fund/Cofounders%20Capital,venture-capital-firms
Hard2beat,VC firm,Poland,$130k to $800k,"1. Idea or Patent, 2. Prototype",Sometimes,"We invest in early-stage Polish deeptech startups with a clear technological edge, solving hard problems through software-driven or hardware-enabled solutions. Our focus areas include dual-use, spacetech, biotech, medtech, IoT, enterprise software, devtools, manufacturing, quantum computing.","We blend firsthand founder experience (scaling businesses to €14M+ ARR, multiple exits) with deep VC expertise (100+ investments). We support our portfolio companies through hands-on advice on global sales, R&D, fundraising, and legal structuring – no fluff, no micromanaging. We also give access to local and international network of 250+ investors, angels, and industry partners.",,50%,https://www.openvc.app/fund/Hard2beat,venture-capital-firms
G2C Venture Partne...,VC firm,USA,$250k to $2.5M,3. Early Revenue,Always,"We invest in AI-driven enterprise software companies transforming how businesses operate, compete, and scale. We believe the next decade of enterprise value will be shaped by intelligent software that automates workflows, augments decision-making, and drives efficiency. Our focus is on early-stage teams building category-defining products with strong technical foundations, clear use cases, and the potential to become essential to modern enterprises.","We support early-stage AI and SaaS founders with GTM strategy, customer introductions, fundraising narrative, and investor network access — helping portfolio companies reach product-market fit and scale toward Series A and beyond.",,67%,https://www.openvc.app/fund/G2C%20Venture%20Partners,venture-capital-firms
Step Venture,VC firm,Italy,$500k to $2M,"2. Prototype, 3. Early Revenue",Always,"We invest in early stage startups based in Italy working on AI, B2B Software, Fintech/Insurtech, Connected World, Digital Health","We support exceptional founders by:
- Sparring Partnership: We provide strategic guidance and challenge your thinking as experienced entrepreneurs (we have been founders ourselves).
- Network Access: We leverage our extensive network to connect you with key industry players, investors, and potential partners.
- Hands-Off Approach: We respect your autonomy and focus on empowering you to lead your company.
- Perks & Benefits: We offer valuable perks to help you and your team thrive.",,50%,https://www.openvc.app/fund/Step%20Venture,venture-capital-firms
Hadley Point Capit...,VC firm,USA,$25k to $500k,"1. Idea or Patent, 2. Prototype",Sometimes,"We invest in founders at the intersection of three things: a founder with real conviction, a market-changing or market-evolving idea, and a place where our operating experience materially helps. All three are required. We write $25k to $500k checks at pre-seed and seed. We’re sector-agnostic, with three exclusions: deep biotech and hard science, hardware-first, and crypto/web3. We lead and follow rounds, and we decide within two weeks.","We work with founders on the calls that shape a company’s first chapter: product, technical architecture, hiring, go-to-market, and the systems that turn a plan into a working business. You get direct answers, not hedged ones. We move fast, and we don’t make founders trade speed for a partner who stays for the long run. We take a board seat only where we can earn one by shortening your time to scale or reducing the equity you sell.",,50%,https://www.openvc.app/fund/Hadley%20Point%20Capital,venture-capital-firms
Yellowfin Capital ...,VC firm,"UAE, Saudi Arabia",$100k to $1M,"3. Early Revenue, 4. Scaling",Sometimes,"We invest in technology ventures and amplify their value by facilitating their strategic expansion into complementary cross-regional markets – unlocking exponential growth.

Leveraging our extensive international network, deep portfolio management expertise, established operational infrastructure, and venture building experience, we catalyze rapid yet sustainable growth and decisive market penetration.

Our investment ticket ranges between US$ 100K to US$ 1M","We invest in technology ventures and amplify their value by facilitating their strategic expansion into complementary cross-regional markets – unlocking exponential growth.

Leveraging our extensive international network, deep portfolio management expertise, established operational infrastructure, and venture building experience, we catalyze rapid yet sustainable growth and decisive market penetration.",,100%,https://www.openvc.app/fund/Yellowfin%20Capital%20Partners,venture-capital-firms
Odyssée Venture,VC firm,France,$500k to $5M,"1. Idea or Patent, 3. Early Revenue",Always,"We invest in French startups and SMEs (Series A/B) to drive organic growth and M&A build-ups. Key sectors: SaaS, B2B Software, Fintech, HealthTech, Cybersecurity, MedTech, Greentech, and Digital Transformation. As an agile lead investor with over 20 years of expertise, we provide strategic support to help ambitious entrepreneurs scale while prioritizing resilient business models and structural market shifts.","Beyond capital, we provide hands-on strategic guidance. As lead investors, we support founders through critical phases: international expansion, external growth (build-ups), and future fundraising. Our agile team ensures direct access and fast decision-making. We leverage our 20+ year track record and cross-sector expertise to help startups transform into market leaders via a frank, direct, and entrepreneur-centric relationship focused on long-term value creation.",,100%,https://www.openvc.app/fund/Odyss%C3%A9e%20Venture,venture-capital-firms
Avenue Growth Part...,VC firm,"USA, Canada",$7M to $20M,"3. Early Revenue, 4. Scaling",Always,"We invest in B2B software companies that have nailed their niche.

-B2B vertical software
-Strong growth, low burn
-Product-market fit ($1.5M+ in ARR)","Avenue partners with early growth vertical software founders and helps scale businesses from $2–8M ARR toward $20–50M+. One of our cofounders joins the board of every company we back, and our operating partners work alongside management on go-to-market strategy, pricing, hiring, and operational scaling. We invest as non-control partners and focus on building durable, category-leading software companies.",,75%,https://www.openvc.app/fund/Avenue%20Growth%20Partners,venture-capital-firms
Abac Nest Ventures,VC firm,Spain,$150k to $500k,"1. Idea or Patent, 2. Prototype",Sometimes,We invest in outlier entrepreneurs building B2S SaaS solutions to transform the SME industry across Southern Europe,"We are one of the few institutional investors specializing in pre-seed and seed stages, supporting founders with a hands-on approach. Our backing combines solid industry experience, operational expertise, and access to an international investor network, enabling scalable and sustainable growth from day 0 to exit",,50%,https://www.openvc.app/fund/Abac%20Nest%20Ventures,venture-capital-firms
Underline Ventures,VC firm,"Albania, Belarus",$200k to $1M,"1. Idea or Patent, 2. Prototype",,We invest in Eastern European founders building high-growth startups with global ambitions. We are vertical-agnostic.,"We make sure we are putting our money where our mouth is and <> by providing significant services to the startups in our portfolio: recruitment & HR services (with Ioana’s support), comms (with Adriana’s support), growth advising (with Vlad’s and Ioana S.’ support), and strategy and fundraising (with Bogdan’s and Mihai's support).",,100%,https://www.openvc.app/fund/Underline%20Ventures,venture-capital-firms
First Momentum Ven...,VC firm,"Albania, Andorra",$200k to $1M,1. Idea or Patent,Sometimes,"We invest in pre/early-traction B2B companies with a technical core as their main differentiator. We mainly invest in Deep Tech, SaaS and SaaS-enabled marketplaces.","We accelerate our companies' journeys with high-value connections to talent, customers and investors.",,100%,https://www.openvc.app/fund/First%20Momentum%20Ventures,venture-capital-firms
